내용링크,title,problem,level,분류,유사도,number
/problem/27866,문자와 문자열,"단어 $S$와 정수 $i$가 주어졌을 때, $S$의 $i$번째 글자를 출력하는 프로그램을 작성하시오.$S$의 $i$번째 글자를 출력한다.",1.0,"구현,문자열,",기준,27866
/problem/26004,HI-ARC,당신은 𝐇𝐈-𝐀𝐑𝐂의 열렬한 팬이다. 따라서 위의 이모지를 만들고 싶어 한다.현재 $N$ 길이의 문자열 $S$를 가지고 있다. 이모지를 하나 만들기 위해선 𝐇 𝐈 𝐀 𝐑 𝐂 각 문자가 하나씩 필요하다. 이모지를 최대 몇 개 만들 수 있는지 구해보자.첫째 줄에 주어진 문자열 $S$로 만들 수 있는 이모지의 최대 개수를 출력한다.,3.0,"구현,문자열,",1.8587201237678528,26004
/problem/25183,인생은 한 방,"재형이는 인생 역전을 위해 오늘도 로또를 샀다. 로또를 구매하면 알파벳 대문자 $N$개가 일렬로 적힌 문자열이 주어진다.로또에 당첨되기 위해선 인접한 문자가 모두 사전상에서 이웃한, 길이 $5$ 이상의 부분 문자열이 로또 문자열에 존재해야 한다.예를 들어 'C'와 사전상에서 이웃한 문자는 'B'와 'D'이고, 'Z'와 이웃한 문자는 'Y' 하나이며, 자기 자신과는 이웃하지 않는다. 따라서, 로또 문자열이 ""ABCDE"", ""ASGXYZYXE"", ""WEFGHIJKA""인 경우는 당첨이고, ""ABCDF"", ""CXYZAB"", ""AAAAA""는 당첨되지 않은 경우이다.  알파벳 대문자 $N$개로 이루어진 문자열이 주어질 때, 로또에 당첨되었는지를 구해보자.로또에 당첨된 경우라면 YES를, 아니면 NO를 출력한다.",5.0,"구현,문자열,",1.749087631702423,25183
/problem/12090,초성 변환,"한글로 되어 있는 이름 S가 주어졌을 때, S의 초성만 출력하는 프로그램을 작성하시오.첫째 줄에 S의 초성을 모두 출력한다.",5.0,"구현,문자열,",1.630529761314392,12090
/problem/19948,음유시인 영재,"감수성이 뛰어난 음유시인 영재는 일상생활 중에 번뜩 시상이 떠오르곤 한다.하지만 기억력이 좋지 못한 영재는 시상이 떠오르면 그 순간 컴퓨터로 기록해야만 안 까먹는다! 시는 대문자, 소문자 알파벳과 빈칸으로 이루어져 있다. 시상은 매번 훌륭하지만 제목 짓는 센스가 부족한 영재는 시에 나오는 단어들의 첫 글자를 대문자로 바꾼 뒤 순서대로 이어서 제목으로 만든다. 만약 시의 내용이 'There is no cow level' 이라면 시의 제목은 'TINCL'이 된다.시도 때도 없이 시를 기록하느라 낡아버린 영재의 키보드는 수명이 얼마 남지 않았다. 앞으로 스페이스 바와 영자판을 누를 수 있는 횟수가 정해져 있어 이를 초과하면 키보드가 수명이 다 하여 어떠한 작업도 하지 못하게 된다. 하나 다행인 점은, 키보드를 쓸 때 같은 문자가 연속으로 나오거나 빈칸이 연속으로 나오는 경우 영재는 자판을 꾹 눌러 한 번만 사용해서 키보드를 좀 더 효율적으로 쓸 수 있다. (A와 a는 다른 문자이므로 'Aa'는 2번의 a자판을 누른 것으로 한다.)시의 내용과 시의 제목은 Enter 키로 구분된다. 다행히 Shift 키와 Enter 키는 항상 수명이 무한한 상황이다!음유시인 영재가 이번에 지은 시의 내용과 스페이스 바와 영자판을 누를 수 있는 횟수가 주어졌을 때, 시의 내용과 제목을 모두 기록할 수 있다면 시의 제목을 출력하고, 만약 키보드의 수명이 다 하여 기록을 완벽하게 못 하게 된다면 -1을 출력하여라.시의 내용과 제목을 모두 기록할 수 있다면 시의 제목을 출력하여라.",8.0,"구현,문자열,",1.5924047231674194,19948
/problem/6527,빙고라니!,"대혁이는 교사이다. 하지만 대혁이의 수업은 무척이나 지루하다. 그래서 학생들은 수업도중에 빙고를 하기 시작하였다. 하지만 대혁이는 눈치가 빨라서 이미 모든걸 알고 있었다.  대혁이는 학생들을 혼내기 전에 한 번의 게임에 필요한 평균적인 단어수를 구하려고 한다.학생들은 영어를 무척이나 잘해서 모든 단어는 알파벳으로 되어있는 단어만 말하고 알파벳은 소문자와 대문자 둘 다 가능하다.  학생들은 대혁이를 혼란시키기 위해 알파벳 시작 중간 끝에 알파벳이 아닌 다른 문자를 넣기로 하였다. 하지만 몇몇의 어리석은 학생들이 빙고가 되면 ""BULLSHIT""이라고  외쳤고 대혁이는 이 단어를 통해 게임이 끝났다는 것을 알아냈다. 또한 이 학생들은 같은 단어를 말하기도 하였는데, 이는 당연히 하나로 간주한다. 또한, Bingo와 bingo는 같은 단어로 간주한다. 즉, 대소문자는 구별하지 않는다.대혁이는 수업을 하려하기 때문에 당신이 프로그램을 만들어 학생들이 얼마나 게임을 하고 얼마나 단어를 불렀는지 알아내도록 하자.출력은 한 번의 게임이 종료될때 몇번의 단어가 불려지는지 평균을 구하려고 한다. 답은 소수가 아닌 분수로 표기하며 분모와 분자의 공통 약수는 1만 존재한다. 즉, 게임이 10번 진행되고 단어가 55번 진행되었다면 출력은 ""11 / 2""가 되어야 한다. ",8.0,"구현,문자열,",1.5872053503990173,6527
/problem/11283,한글 2,"한글의 각 글자는 초성, 중성, 종성으로 이루어져 있고, 이 세 가지를 모아써서 한 글자를 나타낸다.초성은 ㄱ, ㄲ, ㄴ, ㄷ, ㄸ, ㄹ, ㅁ, ㅂ, ㅃ, ㅅ, ㅆ, ㅇ, ㅈ, ㅉ, ㅊ, ㅋ, ㅌ, ㅍ, ㅎ로 총 19개가 있고, 중성은 ㅏ, ㅐ, ㅑ, ㅒ, ㅓ, ㅔ, ㅕ ㅖ, ㅗ, ㅘ, ㅙ, ㅚ, ㅛ, ㅜ, ㅝ, ㅞ, ㅟ, ㅠ, ㅡ, ㅢ, ㅣ로 총 21개, 종성은 없음, ㄱ, ㄲ, ㄳ, ㄴ, ㄵ, ㄶ, ㄷ, ㄹ, ㄺ, ㄻ, ㄼ, ㄽ, ㄾ, ㄿ, ㅀ, ㅁ, ㅂ, ㅄ, ㅅ, ㅆ, ㅇ, ㅈ, ㅊ, ㅋ, ㅌ, ㅍ, ㅎ로 총 28개가 있다.첫 번째 글자는 초성에서 ㄱ, 중성에서 ㅏ, 종성에서 없음을 합친 ""가""가 되고, 두 번째 글자는 초성에서 ㄱ, 중성에서 ㅏ, 종성에서 ㄱ을 합친 ""각""이 된다. 마지막 글자는 초성에서 ㅎ, 중성에서 ㅣ, 종성에서 ㅎ를 합친 ""힣""이 된다.초성과 중성, 그리고 종성을 합쳐서 만들 수 있는 글자의 개수는 총 19*21*28 = 11,172개가 된다.한글이 주어졌을 때, 몇 번째 글자인지 구하는 프로그램을 작성하시오.입력으로 주어진 글자가 몇 번째인지 출력한다.",2.0,"구현,문자열,",1.5838634967803955,11283
/problem/3076,상근이의 체스판,"상근이는 체스판을 만들려고 한다.체스판은 검정칸과 흰칸으로 이루어져 있다. 가장 왼쪽 위칸의 색은 검정색이고, 나머지 색은 검정과 흰색이 번갈아가면서 등장한다. 검정색은 'X'로, 흰색은 '.'로 표시한다.상근이의 체스판은 R행 * C열로 이루어져 있어야 한다. 또, 각각의 행의 높이는 문자 A개만큼 이며, 각각의 열의 너비는 문자 B개 만큼이다. 예제 출력을 보고 이해하면 쉽다.R, C, A, B가 주어졌을 때, 상근이의 체스판을 출력하는 프로그램을 작성하시오.출력은 R * A행 C * B열로 이루어져 있어야 하며, 문제에서 설명한 상근이의 체스판을 출력한다.",4.0,"구현,문자열,",1.5815730690956116,3076
/problem/10205,헤라클레스와 히드라,"헤라클레스는 그리스 신화의 유명한 비극적인 영웅이다. 그는 제우스의 사생아로 태어났는데, 이때문에 제우스의 아내 헤라는 그를 매우 싫어했다. 그는 매우 강한 힘과 높은 지식을 가졌지만, 동시에 자신의 아이들이나, 그의 많은 스승들, 연인들 등을 스스로 죽이는 광기도 함께 가졌다. 그는 그의 아이들을 죽인 죄로, 에우리스테우스 왕이 내린 12가지의 과업을 수행해야 했던 인물로 잘 알려져 있다.그 과업 중 두 번째는 바로 거대하고, 여러 개의 머리를 가진 히드라를 죽이라는 것이었다. 그런데 이 히드라는 헤라가 헤라클레스를 죽이려는 목적으로 만든 괴물이었다.히드라를 죽이는 데 있어 큰 문제는, 머리 하나를 날려버리면, 2개의 새 머리가 나온다는 것이었고, 히드라는 머리가 하나 이상 남아있다면 죽지 않았다. 헤라클레스의 조카 이올라우스는 그 머리들을 자를 때 그 밑동에 불을 지지면 머리가 다시 자라나지 않는다는 사실을 깨달았다.이런 상황에서, 헤라클레스와 이올라우스는 일련의 연속된 행동을 수행하는데, 이 행동은 그냥 히드라의 머리를 자르는 것과, 자름과 동시에 불로 지지는 두 가지 중 하나이다. 이 일련의 행동이 끝난 뒤 몇 개의 머리가 남아있는지를 결정하라.각 data set에 대한 출력의 첫 번째 줄은 ""Data Set x:"" 이다.",3.0,"구현,문자열,",1.5784989595413208,10205
/problem/23027,1번부터 문제의 상태가…?,"큰일이다. 시험 문제를 본 쿠기는 1번부터 풀 수가 없다. 시험 시간 동안 할 일이 없었던 쿠기는 교수님께 편지를 쓰려고 한다. 작년 시험에서 교수님께 그동안 감사했다는 편지를 전하고 D+을 받았던 기억이 있다. 그때 성적이 문제였는지, 편지가 문제였는지 궁금하여 이번에도 1번 문제의 답안 칸에 편지를 작성하려고 한다. 혹시나 하는 마음에 쿠기는 D+만은 피하고자 편지를 수정하려고 한다.편지의 내용 S에 'A'가 있다면 S에 있는 'B', 'C', 'D', 'F'를 모두 'A'로 변경한다.'A'가 없고 'B'가 있다면 S에 있는 'C', 'D', 'F'를 모두 'B'로 변경한다.'A'와 'B'가 없고 'C'가 있다면 S에 있는 'D', 'F'를 모두 'C'로 변경한다.'A', 'B'와 'C'가 모두 없다면 S에 있는 모든 문자를 'A'로 변경한다.쿠기를 도와 편지를 수정하는 것을 도와주자.수정된 편지의 내용을 출력한다.",4.0,"구현,문자열,",1.5776550769805908,23027
