내용링크,제목,문제,level,분류,유사도
/problem/18258,큐 2,"정수를 저장하는 큐를 구현한 다음, 입력으로 주어지는 명령을 처리하는 프로그램을 작성하시오.명령은 총 여섯 가지이다.push X: 정수 X를 큐에 넣는 연산이다.pop: 큐에서 가장 앞에 있는 정수를 빼고, 그 수를 출력한다. 만약 큐에 들어있는 정수가 없는 경우에는 -1을 출력한다.size: 큐에 들어있는 정수의 개수를 출력한다.empty: 큐가 비어있으면 1, 아니면 0을 출력한다.front: 큐의 가장 앞에 있는 정수를 출력한다. 만약 큐에 들어있는 정수가 없는 경우에는 -1을 출력한다.back: 큐의 가장 뒤에 있는 정수를 출력한다. 만약 큐에 들어있는 정수가 없는 경우에는 -1을 출력한다.출력해야하는 명령이 주어질 때마다, 한 줄에 하나씩 출력한다.",7,"자료 구조,큐,",기준
/problem/10845,큐,"정수를 저장하는 큐를?구현한 다음, 입력으로 주어지는 명령을 처리하는 프로그램을 작성하시오.명령은 총 여섯 가지이다.push X: 정수 X를 큐에 넣는 연산이다.pop: 큐에서 가장 앞에 있는 정수를 빼고, 그 수를 출력한다. 만약 큐에 들어있는 정수가 없는 경우에는 -1을 출력한다.size: 큐에 들어있는 정수의 개수를 출력한다.empty: 큐가?비어있으면 1, 아니면 0을 출력한다.front: 큐의 가장 앞에 있는 정수를 출력한다. 만약 큐에 들어있는 정수가 없는 경우에는 -1을 출력한다.back:?큐의 가장 뒤에 있는 정수를 출력한다. 만약 큐에 들어있는 정수가 없는 경우에는 -1을 출력한다.출력해야하는 명령이 주어질 때마다, 한 줄에 하나씩 출력한다.",7,"자료 구조,큐,",1.999522269
/problem/28279,덱 2,"정수를 저장하는 덱을 구현한 다음, 입력으로 주어지는 명령을 처리하는 프로그램을 작성하시오.명령은 총 여덟 가지이다.1 X: 정수 X를 덱의 앞에 넣는다. (1 ≤ X ≤ 100,000)2 X: 정수 X를 덱의 뒤에 넣는다. (1 ≤ X ≤ 100,000)3: 덱에 정수가 있다면 맨 앞의 정수를 빼고 출력한다. 없다면 -1을 대신 출력한다.4: 덱에 정수가 있다면 맨 뒤의 정수를 빼고 출력한다. 없다면 -1을 대신 출력한다.5: 덱에 들어있는 정수의 개수를 출력한다.6: 덱이 비어있으면 1, 아니면 0을 출력한다.7: 덱에 정수가 있다면 맨 앞의 정수를 출력한다. 없다면 -1을 대신 출력한다.8: 덱에 정수가 있다면 맨 뒤의 정수를 출력한다. 없다면 -1을 대신 출력한다.출력을 요구하는 명령이 주어질 때마다 명령의 결과를 한 줄에 하나씩 출력한다.",7,"자료 구조,덱,",1.957418084
/problem/19856,계주 코스 정하기,"승현이는 한 학교에서 선생님으로 근무하고 있다. 이번에 운동회를 담당하게 된 승현이는 릴레이 계주의 코스 중 하나를 어떻게 만들지 고심 중이다.이 코스는 N행 M열의 구역으로 나뉜 공간에서 치러질 것이며, 위에서부터 i번째 행, 왼쪽에서부터 j번째 열의 구역은 (i, j)로 표현된다. 승현이는 1열의 한 구역을 시작 지점으로, M열의 한 구역을 도착 지점으로 하는 코스를 만들고자 한다. 이때, 도착 지점은 시작 지점보다 위쪽 구역은 아니어야 한다. 즉, 코스가 구역 (S, 1)에서 시작하여 (T, M)에서 끝난다고 할 때, 1 ≤ S ≤ T ≤ N가 성립해야 한다. 따라서 가능한 시작 지점과 도착 지점의 후보는 N(N+1)2가지가 존재한다.학생들은 최단 경로로 도착 지점에 도달하고 싶어 하기 때문에, 시작 지점에서 출발하여 오른쪽이나 아래쪽으로 인접한 구역으로 이동하는 것만을 반복하여 도착 지점에 도달하고자 할 것이다.승현이네 학교의 전통은 릴레이 계주에서 바통 대신 선인장을 들고 달리는 것이다. 그러나 선인장은 추위에 약하기 때문에, 만약 학생이 선인장을 들고 기온이 0도 미만인 곳을 지나가게 된다면 선인장은 시들고 만다. 이 릴레이 경주는 선인장이 시들면 탈락 처리되기 때문에, 학생들은 기온이 0도 이상인 구역만 지나가야 한다.i행의 구역은 북서풍의 영향으로 Ai도의 영향을 받고, j열의 구역은 동남풍의 영향으로 Bj도의 영향을 받는다. 따라서, 구역 (i, j)의 기온은 (Ai?+?Bj)도이다.시작 지점과 도착 지점이 정해졌을 때, 기온이 0도 이상인 구역만 지나면서 시작 지점부터 오른쪽 또는 아래쪽으로 인접한 구역으로 이동하는 것을 반복하여 도착 지점에 도달하는 것이 가능하다면 이 경우는 릴레이 계주 코스로 가능한 경우이다. 이때, 시작 지점과 도착 지점 역시 기온이 0도 이상이어야 한다.N(N+1)2가지의 총 후보 중, 가능한 시작 지점과 도착 지점 쌍의 경우의 수를 구하여라.첫 줄에 가능한 코스의 개수, 즉 가능한 (시작 지점, 도착 지점) 쌍의 개수를 출력한다.",26,"자료 구조,",1.924903274
/problem/6523,요세푸스 한 번 더!,"프로 드링커 상근이는 술을 마실때, 요세푸스 문제와 같은 순서로 술을 마신다. 요세푸스 문제를 천 번 넘게 푼 상근이는 머리 속으로 가장 마지막에 술을 마시는 사람의 위치를 계산할 수 있다. 따라서, 같이 술을 마시는 친구들은 상근이를 이기기 위해서 술을 마시는 새로운 순서를 제시했다.먼저, 원탁에 모두 앉는다. 총 N명이 원탁에 앉았다면, 각 사람의 번호는 0번부터 N-1번이 된다.요세푸스 문제와 다르게 다음 사람을 고르기 위해서 두 숫자 a와 b를 이용한다. 현재 선택된 사람의 번호가 x라면, 다음 사람의 번호는 ax2+b mod N이 된다.가장 처음 시작하는 사람의 번호는 0번이다. 다음 사람의 번호는 위의 식을 이용해서 고른다.각 사람은 한 번의 기회를 더 받을 수 있다. 즉, 한 번 걸리면 술을 마시는 것이 아니고, 두 번 걸렸을 때, 술을 마시는 것이다.만약, 어떤 사람이 세 번 걸렸다면, 그 즉시 모두 자리를 박차고 일어나 집으로 간다.N과 a, b가 주어졌을 때, 술을 마시지 않고 집으로 가는 사람의 수를 구하는 프로그램을 작성하시오.각 테스트 케이스에 대해서, 술을 마시지 않고 집으로 가는 사람의 수를 출력한다.",14,"자료 구조,",1.918111503
/problem/1021,회전하는 큐,"지민이는 N개의 원소를 포함하고 있는 양방향 순환 큐를 가지고 있다. 지민이는 이 큐에서 몇 개의 원소를 뽑아내려고 한다.지민이는 이 큐에서 다음과 같은 3가지 연산을 수행할 수 있다.첫 번째 원소를 뽑아낸다. 이 연산을 수행하면, 원래 큐의 원소가 a1, ..., ak이었던 것이 a2, ..., ak와 같이 된다.왼쪽으로 한 칸 이동시킨다. 이 연산을 수행하면, a1, ..., ak가 a2, ..., ak, a1이 된다.오른쪽으로 한 칸 이동시킨다. 이 연산을 수행하면, a1, ..., ak가 ak, a1, ..., ak-1이 된다.큐에 처음에 포함되어 있던 수 N이 주어진다. 그리고 지민이가 뽑아내려고 하는 원소의 위치가 주어진다. (이 위치는 가장 처음 큐에서의 위치이다.) 이때, 그 원소를 주어진 순서대로 뽑아내는데 드는 2번, 3번 연산의 최솟값을 출력하는 프로그램을 작성하시오.첫째 줄에 문제의 정답을 출력한다.",8,"자료 구조,덱,",1.908562064
/problem/25200,곰곰이와 자판기,"곰곰이는 좋아하는 음료수 자판기가 있다. 이 자판기에는 ""랜덤"" 버튼이 있는데, 이 버튼을 누르면 이세계에서 출발한 음료수가 $M$ 번의 차원 이동 후 자판기 상품 출구로 떨어진다.하지만 차원 이동은 불안정하기 때문에, 음료수 종류가 도중에 바뀌는 일도 있다. 정확히는 아래와 같은 규칙에 의해 바뀐다.$i\ (1 \le i \le M)$ 번째 차원 이동 중에, 음료수 종류 $U_i$ 는 $V_i$ 로 변경된다. $(1 \le U_i, V_i \le N)$곰곰이는 $1$ 부터 $N$ 까지 모든 종류의 음료수에 대해, 각각 $M$ 번의 차원 이동을 거쳐 최종적으로 어떤 종류의 음료수가 되는지 알고 싶다.$f(k)$ 가 음료수 종류 $k$ 가 $M$ 번의?차원 이동을 거쳐 최종적으로 변하는 음료수 종류라고 할 때, $f(1), f(2), \cdots, f(N)$ 을 첫 번째?줄에 공백을 사이에 두고 출력하라.",16,"자료 구조,",1.898533225
/problem/18115,카드 놓기,"수현이는 카드 기술을 연습하고 있다. 수현이의 손에 들린 카드를 하나씩 내려놓아 바닥에 쌓으려고 한다. 수현이가 쓸 수 있는 기술은 다음 3가지다.제일 위의 카드 1장을 바닥에 내려놓는다.위에서 두 번째 카드를 바닥에 내려놓는다. 카드가 2장 이상일 때만 쓸 수 있다.제일 밑에 있는 카드를 바닥에 내려놓는다. 카드가 2장 이상일 때만 쓸 수 있다.수현이는 처음에 카드 N장을 들고 있다. 카드에는 1부터 N까지의 정수가 중복되지 않게 적혀 있다. 기술을 N번 사용하여 카드를 다 내려놓았을 때, 놓여 있는 카드들을 확인했더니 위에서부터 순서대로 1, 2, …, N이 적혀 있었다!놀란 수현이는 처음에 카드가 어떻게 배치되어 있었는지 궁금해졌다. 처음 카드의 상태를 출력하여라.초기 카드의 상태를 위에서부터 순서대로 출력하여라.",8,"자료 구조,덱,",1.876424968
/problem/2164,카드2,"N장의 카드가 있다. 각각의 카드는 차례로 1부터 N까지의 번호가 붙어 있으며, 1번 카드가 제일 위에, N번 카드가 제일 아래인 상태로 순서대로 카드가 놓여 있다.이제 다음과 같은 동작을 카드가 한 장 남을 때까지 반복하게 된다. 우선, 제일 위에 있는 카드를 바닥에 버린다. 그 다음, 제일 위에 있는 카드를 제일 아래에 있는 카드 밑으로 옮긴다.예를 들어 N=4인 경우를 생각해 보자. 카드는 제일 위에서부터 1234 의 순서로 놓여있다. 1을 버리면 234가 남는다. 여기서 2를 제일 아래로 옮기면 342가 된다. 3을 버리면 42가 되고, 4를 밑으로 옮기면 24가 된다. 마지막으로 2를 버리고 나면, 남는 카드는 4가 된다.N이 주어졌을 때, 제일 마지막에 남게 되는 카드를 구하는 프로그램을 작성하시오.첫째 줄에 남게 되는 카드의 번호를 출력한다.",7,"자료 구조,큐,",1.789597094
/problem/2605,줄 세우기,"점심시간이 되면 반 학생 모두가 한 줄로 줄을 서서 급식을 탄다. 그런데 매일 같이 앞자리에 앉은 학생들이 앞에 줄을 서 먼저 점심을 먹고, 뒷자리에 앉은 학생들은 뒤에 줄을 서 늦게 점심을 먹게 된다. 어떻게 하면 이러한 상황을 바꾸어 볼 수 있을까 고민하던 중 선생님이 한 가지 방법을 내 놓았다. 그 방법은 다음과 같다.학생들이 한 줄로 줄을 선 후, 첫 번째 학생부터 차례로 번호를 뽑는다. 첫 번째로 줄을 선 학생은 무조건 0번 번호를 받아 제일 앞에 줄을 선다. 두 번째로 줄을 선 학생은 0번 또는 1번 둘 중 하나의 번호를 뽑는다. 0번을 뽑으면 그 자리에 그대로 있고, 1번을 뽑으면 바로 앞의 학생 앞으로 가서 줄을 선다. 세 번째로 줄을 선 학생은 0, 1 또는 2 중 하나의 번호를 뽑는다. 그리고 뽑은 번호만큼 앞자리로 가서 줄을 선다. 마지막에 줄을 선 학생까지 이와 같은 방식으로 뽑은 번호만큼 앞으로 가서 줄을 서게 된다. 각자 뽑은 번호는 자신이 처음에 선 순서보다는 작은 수이다.예를 들어 5명의 학생이 줄을 서고, 첫 번째로 줄을 선 학생부터 다섯 번째로 줄을 선 학생까지 차례로 0, 1, 1, 3, 2번의 번호를 뽑았다고 하자, 첫 번째 학생부터 다섯 번째 학생까지 1부터 5로 표시하면 학생들이 줄을 선 순서는 다음과 같이 된다.첫 번째 학생이 번호를 뽑은 후 : 1두 번째 학생이 번호를 뽑은 후 : 2 1세 번째 학생이 번호를 뽑은 후 : 2 3 1네 번째 학생이 번호를 뽑은 후 : 4 2 3 1다섯 번째 학생이 번호를 뽑은 후 : 4 2 5 3 1따라서 최종적으로 학생들이 줄을 선 순서는 4, 2, 5, 3, 1이 된다.줄을 선 학생들이 차례로 뽑은 번호가 주어질 때 학생들이 최종적으로 줄을 선 순서를 출력하는 프로그램을 작성하시오.학생들이 처음에 줄을 선 순서대로 1번부터 번호를 매길 때, 첫째 줄에 학생들이 최종적으로 줄을 선 순서를 그 번호로 출력한다. 학생 번호 사이에는 한 칸의 공백을 출력한다.",4,"자료 구조,구현,",1.777347911
/problem/2161,카드1,"N장의 카드가 있다. 각각의 카드는 차례로 1부터 N까지의 번호가 붙어 있으며, 1번 카드가 제일 위에, N번 카드가 제일 아래인 상태로 순서대로 카드가 놓여 있다.이제 다음과 같은 동작을 카드가 한 장 남을 때까지 반복하게 된다. 우선, 제일 위에 있는 카드를 바닥에 버린다. 그 다음, 제일 위에 있는 카드를 제일 아래에 있는 카드 밑으로 옮긴다.예를 들어 N=4인 경우를 생각해 보자. 카드는 제일 위에서부터 1234 의 순서로 놓여있다. 1을 버리면 234가 남는다. 여기서 2를 제일 아래로 옮기면 342가 된다. 3을 버리면 42가 되고, 4를 밑으로 옮기면 24가 된다. 마지막으로 2를 버리고 나면, 버린 카드들은 순서대로 1 3 2가 되고, 남는 카드는 4가 된다.N이 주어졌을 때, 버린 카드들을 순서대로 출력하고, 마지막에 남게 되는 카드를 출력하는 프로그램을 작성하시오.첫째 줄에 버리는 카드들을 순서대로 출력한다. 제일 마지막에는 남게 되는 카드의 번호를 출력한다.",6,"자료 구조,구현,큐,",1.849423993
/problem/2346,풍선 터뜨리기,"1번부터 N번까지 N개의 풍선이 원형으로 놓여 있고. i번 풍선의 오른쪽에는 i+1번 풍선이 있고, 왼쪽에는 i-1번 풍선이 있다. 단, 1번 풍선의 왼쪽에 N번 풍선이 있고, N번 풍선의 오른쪽에 1번 풍선이 있다. 각 풍선 안에는 종이가 하나 들어있고, 종이에는 -N보다 크거나 같고, N보다 작거나 같은 정수가 하나 적혀있다. 이?풍선들을 다음과 같은 규칙으로 터뜨린다.우선, 제일 처음에는 1번 풍선을 터뜨린다. 다음에는 풍선 안에 있는 종이를 꺼내어 그 종이에 적혀있는 값만큼 이동하여 다음 풍선을 터뜨린다. 양수가 적혀 있을 경우에는 오른쪽으로, 음수가 적혀 있을 때는 왼쪽으로 이동한다. 이동할 때에는 이미 터진 풍선은 빼고 이동한다.예를 들어 다섯 개의 풍선 안에 차례로 3, 2, 1, -3, -1이 적혀 있었다고 하자. 이 경우 3이 적혀 있는 1번 풍선, -3이 적혀 있는 4번 풍선, -1이 적혀 있는 5번 풍선, 1이 적혀 있는 3번 풍선, 2가 적혀 있는 2번 풍선의 순서대로 터지게 된다.첫째 줄에 터진 풍선의 번호를 차례로 나열한다.",8,"자료 구조,덱,",1.749246836
/problem/11866,요세푸스 문제 0,"요세푸스 문제는 다음과 같다.1번부터 N번까지 N명의 사람이 원을 이루면서?앉아있고, 양의 정수 K(≤ N)가?주어진다. 이제 순서대로 K번째 사람을 제거한다. 한 사람이 제거되면 남은 사람들로 이루어진 원을 따라 이 과정을 계속해 나간다. 이 과정은 N명의 사람이 모두 제거될 때까지 계속된다. 원에서 사람들이 제거되는 순서를 (N, K)-요세푸스 순열이라고 한다. 예를 들어 (7, 3)-요세푸스 순열은 <3, 6, 2, 7, 5, 1, 4>이다.N과 K가 주어지면 (N, K)-요세푸스 순열을 구하는 프로그램을 작성하시오.예제와 같이 요세푸스 순열을 출력한다.",6,"자료 구조,구현,큐,",기준
